,post_id,text,time,image,video,likes,comments,shares,post_url,reactors
0,847949259131659,"Enhanced your business wit us

Hello, we are experienced web developers and fulfill your requirements at the cheapest rate. We designed attractive, responsive, SEO & user-friendly, fast-loading website on yourమరిన్ని budget. We offer

Web Development
E-Commerce Website
Wordpress websites
Mobile App Development,
Digital Marketing
SEO Services.

Now you will get 25% off (Limited period offer). Don't miss out on this opportunity!

Feel free to contact us -Please dm or whatsapp

https://wa.me/message/ZBTTVPFZT6JVO1

WA.ME
wa.me",2021-05-24 00:23:19,,,1,0,0,https://m.facebook.com/groups/546588969267691/permalink/847949259131659/,
1,848395122420406,,2021-05-24 20:28:38,,,107,76,113,https://m.facebook.com/groups/546588969267691/permalink/848395122420406/,
2,848528872407031,,2021-05-25 01:50:00,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848528872407031/,
3,848739389052646,,2021-05-25 11:46:09,,,0,0,2,https://m.facebook.com/groups/546588969267691/permalink/848739389052646/,
4,848705579056027,,2021-05-25 10:11:08,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848705579056027/,
5,848708209055764,,2021-05-25 10:18:54,,,1,0,0,https://m.facebook.com/groups/546588969267691/permalink/848708209055764/,
6,848708479055737,,2021-05-25 10:19:44,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848708479055737/,
7,848711369055448,😎🙄,2021-05-25 10:28:28,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848711369055448/,
8,848717385721513,,2021-05-25 10:45:33,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848717385721513/,
9,848734622386456,,2021-05-25 11:34:30,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848734622386456/,
10,848735515719700,,2021-05-25 11:36:25,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848735515719700/,
11,848022569124328,,2021-05-24 03:42:32,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848022569124328/,
12,848475492412369,,2021-05-24 23:29:35,,,4,2,2,https://m.facebook.com/groups/546588969267691/permalink/848475492412369/,
13,848272065766045,,2021-05-24 15:40:18,,,127,36,157,https://m.facebook.com/groups/546588969267691/permalink/848272065766045/,
14,848524295740822,,2021-05-25 01:36:29,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848524295740822/,
15,848559592403959,,2021-05-25 03:18:44,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848559592403959/,
16,848598975733354,,2021-05-25 05:22:14,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848598975733354/,
17,848156572444261,"Chords.jpeg

Ctto.",2021-05-24 10:11:51,,,260,73,1683,https://m.facebook.com/groups/546588969267691/permalink/848156572444261/,
18,847859989140586,𝘔𝘢𝘵𝘩 𝘪𝘴 𝘪𝘮𝘱𝘰𝘳𝘵𝘢𝘯𝘵,2021-05-23 20:48:45,,,289,33,275,https://m.facebook.com/groups/546588969267691/permalink/847859989140586/,
19,844233739503211,,2021-05-17 09:58:37,,,232,36,202,https://m.facebook.com/groups/546588969267691/permalink/844233739503211/,
20,848212115772040,,2021-05-24 12:52:34,,,71,13,61,https://m.facebook.com/groups/546588969267691/permalink/848212115772040/,
21,847949259131659,"Enhanced your business wit us

Hello, we are experienced web developers and fulfill your requirements at the cheapest rate. We designed attractive, responsive, SEO & user-friendly, fast-loading website on yourమరిన్ని budget. We offer

Web Development
E-Commerce Website
Wordpress websites
Mobile App Development,
Digital Marketing
SEO Services.

Now you will get 25% off (Limited period offer). Don't miss out on this opportunity!

Feel free to contact us -Please dm or whatsapp

https://wa.me/message/ZBTTVPFZT6JVO1

WA.ME
wa.me",2021-05-24 00:23:19,,,1,0,0,https://m.facebook.com/groups/546588969267691/permalink/847949259131659/,
22,847092925883959,Predator and prey walking home after a whole day of acting for Nat Geo 🤣🤣🤣,2021-05-22 09:57:42,,https://video.fhyd5-1.fna.fbcdn.net/v/t42.1790-2/187581162_102752088630129_4211186270353187672_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=3c93lLcd-fwAX8cMyKW&_nc_oc=AQlFQXfAfA-yXu_-QZMOdqhqvRDn-hAjiOQK2sqWUvYl8nO2yWwYx3UarLathr1MT7I&_nc_rml=0&_nc_ht=video.fhyd5-1.fna&oh=c6894d9443a807a7dcf7615d4b481542&oe=60ACBC38,138,27,613,https://m.facebook.com/groups/546588969267691/permalink/847092925883959/,
23,848679935725258,,2021-05-25 09:03:16,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848679935725258/,
24,848640022395916,😂,2021-05-25 07:17:21,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848640022395916/,
25,848174849109100,Don't know love but I do love gravity,2021-05-24 11:05:46,,,103,17,256,https://m.facebook.com/groups/546588969267691/permalink/848174849109100/,
26,848396299086955,,2021-05-24 20:31:06,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848396299086955/,
27,848182879108297,,2021-05-24 11:30:13,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848182879108297/,
28,848412542418664,,2021-05-24 21:04:13,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848412542418664/,
29,848306002429318,,2021-05-24 17:06:59,,,55,21,48,https://m.facebook.com/groups/546588969267691/permalink/848306002429318/,
30,848709109055674,😂,2021-05-25 10:21:12,,,1,0,1,https://m.facebook.com/groups/546588969267691/permalink/848709109055674/,
31,847729795820272,,2021-05-23 15:36:57,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/847729795820272/,
32,848253572434561,,2021-05-24 14:51:38,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848253572434561/,
33,848205375772714,Whose fault 🤷,2021-05-24 12:33:42,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848205375772714/,
34,848361112423807,,2021-05-24 19:15:24,,,1,0,0,https://m.facebook.com/groups/546588969267691/permalink/848361112423807/,
35,848403342419584,,2021-05-24 20:46:01,,,65,22,14,https://m.facebook.com/groups/546588969267691/permalink/848403342419584/,
36,848126252447293,,2021-05-24 08:47:30,,,218,20,1639,https://m.facebook.com/groups/546588969267691/permalink/848126252447293/,
37,848105845782667,,2021-05-24 07:52:08,,,30,18,46,https://m.facebook.com/groups/546588969267691/permalink/848105845782667/,
38,848374582422460,,2021-05-24 19:43:05,,,15,5,34,https://m.facebook.com/groups/546588969267691/permalink/848374582422460/,
39,848526149073970,,2021-05-25 01:42:01,,,0,0,3,https://m.facebook.com/groups/546588969267691/permalink/848526149073970/,
40,848497439076841,😂😂,2021-05-25 00:26:15,,,6,0,1,https://m.facebook.com/groups/546588969267691/permalink/848497439076841/,
41,848497179076867,exactly,2021-05-25 00:25:47,,,11,0,32,https://m.facebook.com/groups/546588969267691/permalink/848497179076867/,
42,847949259131659,"Enhanced your business wit us

Hello, we are experienced web developers and fulfill your requirements at the cheapest rate. We designed attractive, responsive, SEO & user-friendly, fast-loading website on yourమరిన్ని budget. We offer

Web Development
E-Commerce Website
Wordpress websites
Mobile App Development,
Digital Marketing
SEO Services.

Now you will get 25% off (Limited period offer). Don't miss out on this opportunity!

Feel free to contact us -Please dm or whatsapp

https://wa.me/message/ZBTTVPFZT6JVO1

WA.ME
wa.me",2021-05-24 00:23:19,,,1,0,0,https://m.facebook.com/groups/546588969267691/permalink/847949259131659/,
43,848529109073674,,2021-05-25 01:50:38,,,0,0,0,https://m.facebook.com/groups/546588969267691/permalink/848529109073674/,
44,848529352406983,,2021-05-25 01:51:20,,,2,0,0,https://m.facebook.com/groups/546588969267691/permalink/848529352406983/,
45,848529665740285,,2021-05-25 01:52:16,,,1,0,0,https://m.facebook.com/groups/546588969267691/permalink/848529665740285/,
46,848550285738223,,2021-05-25 02:49:36,,,2,0,7,https://m.facebook.com/groups/546588969267691/permalink/848550285738223/,
47,848631145730137,Another way to learn physex.,2021-05-25 06:53:28,,,7,0,7,https://m.facebook.com/groups/546588969267691/permalink/848631145730137/,
48,848654235727828,,2021-05-25 07:58:45,,,3,0,14,https://m.facebook.com/groups/546588969267691/permalink/848654235727828/,
49,847139392545979,,2021-05-22 12:24:40,,,334,73,66,https://m.facebook.com/groups/546588969267691/permalink/847139392545979/,
